"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2003-10-01","4.03378847508534","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2003-11-01","3.11410150660459","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2003-12-01","4.64102104495355","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-01-01","4.16028562574916","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-02-01","4.27374543137619","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-03-01","5.86135686378666","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-04-01","6.4092892998779","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-05-01","5.83463434022561","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-06-01","6.9638793856082","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-07-01","5.2767514789448","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-08-01","5.84655511687311","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-09-01","5.4514525487717","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-10-01","4.18894023633133","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-11-01","6.01478500262057","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2004-12-01","4.17906823765663","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-01-01","4.27224623563495","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-02-01","5.13647925184531","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-03-01","3.751247379089","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-04-01","3.14899964256385","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-05-01","3.56496442274464","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-06-01","4.38184402751265","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-07-01","2.97758936936693","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-08-01","3.09046943498495","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-09-01","2.93806822554565","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-10-01","2.80595308725475","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-11-01","2.47340840981212","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2005-12-01","2.4763853578093","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-01-01","2.65584309164561","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-02-01","2.42643606209213","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-03-01","3.28846867688075","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-04-01","2.14453949772175","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2006-05-01","3.67115255519093","Annual % change","27-07-23"
